Country,SalesAmount
United Kingdom,13278149.477
EIRE,570962.01
Netherlands,528043.78
Germany,430386.461
France,336936.16
Australia,157136.71
Switzerland,99515.34
Spain,97936.62
Sweden,87424.04
Belgium,64244.77
Portugal,54801.340000000004
Denmark,51563.79
Norway,46193.28
Channel Islands,44111.76
Japan,34179.59
Italy,32550.420000000002
Finland,29925.54
Cyprus,24980.13
Austria,23613.010000000002
Greece,19096.19
Singapore,13560.06
Poland,10902.45
Israel,10421.09
United Arab Emirates,9202.69
Unspecified,8613.65
USA,8366.86
Lithuania,6553.74
Malta,6230.53
Iceland,5633.32
Canada,4883.04
Thailand,3070.54
RSA,1933.74
Lebanon,1693.88
Brazil,1411.87
Bahrain,1354.37
European Community,1300.25
Korea,1118.51
Czech Republic,826.74
West Indies,536.41
Saudi Arabia,145.92
Nigeria,140.39000000000001
