,Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,SalesAmount
count,397463,397463,397463,397463.0,397463,397463.0,397463.0,397463,397463.0
unique,18432,3663,3874,,,,,37,
top,576339,85123A,WHITE HANGING HEART T-LIGHT HOLDER,,,,,United Kingdom,
freq,541,2025,2018,,,,,353954,
mean,,,,12.01235838304446,2011-07-10 23:37:22.359364096,2.9752412526449,15293.289392974944,,19.969285981336622
min,,,,1.0,2010-12-01 08:26:00,0.001,12347.0,,0.001
25%,,,,2.0,2011-04-07 11:06:00,1.25,13969.0,,4.68
50%,,,,6.0,2011-07-31 14:19:00,1.95,15157.0,,11.8
75%,,,,12.0,2011-10-20 14:40:00,3.75,16794.0,,19.799999999999997
max,,,,3186.0,2011-12-09 12:50:00,743.62,18287.0,,835.1999999999999
std,,,,33.42972202404959,,6.185208101422718,1712.6428350928145,,40.27437774112056
