Description,SalesAmount
REGENCY CAKESTAND 3 TIER,119510.34999999999
JUMBO BAG RED RETROSPOT,79660.78
WHITE HANGING HEART T-LIGHT HOLDER,76298.13
POSTAGE,69661.21
PARTY BUNTING,68844.33
ASSORTED COLOUR BIRD ORNAMENT,49260.74
CHILLI LIGHTS,38961.71
PAPER CHAIN KIT 50'S CHRISTMAS ,38499.23
SPOTTY BUNTING,35539.25
JUMBO BAG PINK POLKADOT,34716.590000000004
RABBIT NIGHT LIGHT,34057.32
JAM MAKING SET WITH JARS,30737.97
SET OF 3 CAKE TINS PANTRY DESIGN ,29157.640000000003
JUMBO BAG STRAWBERRY,28085.2
LUNCH BAG RED RETROSPOT,28048.45
VICTORIAN GLASS HANGING T-LIGHT,27048.51
DOORMAT KEEP CALM AND COME IN,26523.85
JUMBO BAG APPLES,26451.260000000002
PAPER CHAIN KIT VINTAGE CHRISTMAS,25669.27
JUMBO BAG ALPHABET,24175.0
